antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,Antecedent_Item,Consequent_Item,product_name_ant,Antecedent_Dept,product_name_con,Consequent_Dept
frozenset({'Blueberries'}),frozenset({'Raspberries'}),0.0189020657738075,0.0202305917490128,0.0020920079913359,0.1106761565836299,5.470732539943144,1.0,0.0017096080154531,1.1017014954722986,0.8329536677974732,0.0564787069826568,0.0923131137520142,0.1070421514422721,Blueberries,Raspberries,Blueberries,frozen,Raspberries,produce
frozenset({'Raspberries'}),frozenset({'Blueberries'}),0.0202305917490128,0.0189020657738075,0.0020920079913359,0.1034081463009144,5.470732539943144,1.0,0.0017096080154531,1.094252563391535,0.8340831178236655,0.0564787069826568,0.0861341947414843,0.1070421514422721,Raspberries,Blueberries,Raspberries,produce,Blueberries,frozen
frozenset({'Organic Raspberries'}),"frozenset({'Organic Strawberries', 'Organic Hass Avocado'})",0.0469490989566866,0.0128917469948406,0.0027579526573882,0.0587434629987821,4.556672033843962,1.0,0.0021526967520029,1.0487133041859364,0.8189925522575844,0.0483148715531463,0.0464505446736467,0.1363375546144445,Organic Raspberries,,Organic Raspberries,produce,,
frozenset({'Cucumber Kirby'}),"frozenset({'Banana', 'Organic Avocado'})",0.0325976550675698,0.0171295766879006,0.0024956108192464,0.0765579859678085,4.469344885906295,1.0,0.0019372267869208,1.06435532321127,0.8024102543389966,0.0528377127394431,0.060464134305359,0.1111240744682945,Cucumber Kirby,,Cucumber Kirby,produce,,
frozenset({'Organic Lemon'}),"frozenset({'Organic Hass Avocado', 'Bag of Organic Bananas'})",0.0283833688728045,0.0202642253180053,0.0025359711020375,0.0893470790378007,4.409104105174603,1.0,0.0019608041199149,1.0758607940847564,0.7957835738130876,0.0549963530269876,0.07051171908285,0.1072461536267841,Organic Lemon,,Organic Lemon,produce,,
frozenset({'Organic Cucumber'}),"frozenset({'Organic Hass Avocado', 'Bag of Organic Bananas'})",0.0264057150160432,0.0202642253180053,0.0023341696880822,0.088396382626417,4.3621890913280605,1.0,0.0017990783293141,1.0747387965667654,0.7916616942818986,0.0526475496889698,0.0695413590776821,0.1017915523090591,Organic Cucumber,,Organic Cucumber,produce,,
frozenset({'Organic Hass Avocado'}),"frozenset({'Organic Raspberries', 'Bag of Organic Bananas'})",0.068471219755013,0.0137325862196541,0.0039216741445301,0.0572747814127124,4.170720685572004,1.0,0.0029813872156795,1.0461875786650834,0.8161135765568656,0.0500966702470461,0.0441484678340551,0.1714245570056459,Organic Hass Avocado,,Organic Hass Avocado,produce,,
frozenset({'Limes'}),"frozenset({'Banana', 'Large Lemon'})",0.0450723458069029,0.0127168524360794,0.0023812566846718,0.0528318782180434,4.1544775708926505,1.0,0.0018080783140975,1.042352592807382,0.7951344217915953,0.0429768119460968,0.0406317335416351,0.1200419639701695,Limes,,Limes,produce,,
frozenset({'Organic Raspberries'}),"frozenset({'Organic Hass Avocado', 'Bag of Organic Bananas'})",0.0469490989566866,0.0202642253180053,0.0039216741445301,0.0835303388494877,4.12205932073152,1.0,0.0029702870247945,1.0690324145068368,0.7947139141946004,0.0619619513232011,0.0645746691775315,0.1385286549019223,Organic Raspberries,,Organic Raspberries,produce,,
frozenset({'Cucumber Kirby'}),"frozenset({'Organic Baby Spinach', 'Banana'})",0.0325976550675698,0.0160398490525423,0.0020953713482352,0.0642798184069335,4.007507688904655,1.0,0.0015725098814845,1.0515538408846354,0.7757561839997648,0.0450209567856626,0.0490263445200913,0.0974575858652407,Cucumber Kirby,,Cucumber Kirby,produce,,
